Reference (don't copy),ID,Title,study period,country,Species (English name),Species (scientific name),subject type,toxicant specific,toxicant group,sample type,group,sample size,no. exposed,"OR if given, proportion exposed",Age Class,Sex,concentration level estimate type,concentration (ND for non-detects),Detection limit (if reported),SD of concentration,minimum,maximum,unit of measure,wet/dry weight?,sublethal effects assessed?,sublethal specific,sublethal type,Notes
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Nd,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.0027,NA,0.0013,0.001,0.004,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Sm,heavy metals,kidney,NA,8,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.001,NA,NA,0.0009,0.001,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Eu,heavy metals,kidney,NA,NA,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,NA,NA,NA,NA,NA,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Gd,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.0014,NA,0.0005,0.0009,0.002,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Dy,heavy metals,kidney,NA,4,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.001,NA,0.0001,0.0009,0.001,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Tl,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.031,NA,0.019,0.003,0.065,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Bi,heavy metals,kidney,NA,7,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.043,NA,0.002,0.0019,0.0086,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Th,heavy metals,kidney,NA,6,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.0018,NA,0.001,0.001,0.003,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,U,heavy metals,kidney,NA,7,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.001,NA,0,0.001,0.001,?g/g ,dry,no,none,none,
Gonzalez and Hiraldo 1988,163,ORGANOCHLORINE AND HEAVY-METAL,"1979, 1981-1984 ",Spain,Spanish Imperial Eagle,Aquila adalberti,wild,Hg,heavy metals,egg(s),NA,10,NA,NA,egg(s),unknown/mixed,arithmetic mean,0.23,NA,0.247,NA,NA,?g/g ,wet,yes,"Egg shell thickness, clutch size, hatching success, reproductive success",Nesting Success,
Gonzalez and Hiraldo 1988,163,ORGANOCHLORINE AND HEAVY-METAL,"1979, 1981-1984 ",Spain,Spanish Imperial Eagle,Aquila adalberti,wild,Pb,heavy metals,egg(s),NA,10,NA,NA,egg(s),unknown/mixed,arithmetic mean,0.818,NA,0.393,NA,NA,?g/g ,wet,yes,"Egg shell thickness, clutch size, hatching success, reproductive success",Nesting Success,
Gonzalez and Hiraldo 1988,163,ORGANOCHLORINE AND HEAVY-METAL,"1979, 1981-1984 ",Spain,Spanish Imperial Eagle,Aquila adalberti,wild,Cd,heavy metals,egg(s),NA,10,NA,NA,egg(s),unknown/mixed,arithmetic mean,0.126,NA,0.136,NA,NA,?g/g ,wet,yes,"Egg shell thickness, clutch size, hatching success, reproductive success",Nesting Success,
Gonzalez and Hiraldo 1988,163,ORGANOCHLORINE AND HEAVY-METAL,"1979, 1981-1984 ",Spain,Spanish Imperial Eagle,Aquila adalberti,wild,Cu,heavy metals,egg(s),NA,10,NA,NA,egg(s),unknown/mixed,arithmetic mean,1.989,NA,2.691,NA,NA,?g/g ,wet,yes,"Egg shell thickness, clutch size, hatching success, reproductive success",Nesting Success,
Gonzalez and Hiraldo 1988,163,ORGANOCHLORINE AND HEAVY-METAL,"1979, 1981-1984 ",Spain,Spanish Imperial Eagle,Aquila adalberti,wild,Zn,heavy metals,egg(s),NA,10,NA,NA,egg(s),unknown/mixed,arithmetic mean,11.927,NA,5.704,NA,NA,?g/g ,wet,yes,"Egg shell thickness, clutch size, hatching success, reproductive success",Nesting Success,
Goutner et al. 2011,164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,Total PCBs,PCB,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,7.56,NA,NA,2.86,21.21,ng/g,wet,no,none,none,
Goutner et al. 2011,164,Organochlorine residues in blo,2003-2005,Greece,Griffon Vulture,Gyps fulvus,wild,Total PCBs,PCB,blood,NA,15,NA,NA,unknown/mixed,unknown/mixed,geometric mean,9.5,NA,NA,3.58,20.44,ng/g,wet,no,none,none,
Goutner et al. 2011,164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,a-HCH,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.6,NA,NA,0.03,0.94,ng/g,wet,no,none,none,
Goutner et al. 2011,164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,b-HCH,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,1.93,NA,NA,0.66,2.88,ng/g,wet,no,none,none,
