Reference (don't copy),ID,Title,study period,country,Species (English name),Species (scientific name),subject type,toxicant specific,toxicant group,sample type,group,sample size,no. exposed,"OR if given, proportion exposed",Age Class,Sex,concentration level estimate type,concentration (ND for non-detects),Detection limit (if reported),SD of concentration,minimum,maximum,unit of measure,wet/dry weight?,sublethal effects assessed?,sublethal specific,sublethal type,Notes
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 154/BB 153,flame retardants,egg(s),Upper Willamette River (RM 69-178),23,NA,>0.5,egg(s),unknown/mixed,geometric mean,23.1,0.005,NA,4.75,70.8,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 154/BB 153,flame retardants,egg(s),"Multnomah Channel, OR",5,NA,>0.5,egg(s),unknown/mixed,geometric mean,11.9,0.005,NA,9.03,14.6,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 154/BB 153,flame retardants,egg(s),"Portland Harbor, OR",5,NA,>0.5,egg(s),unknown/mixed,geometric mean,30.2,0.005,NA,7.41,87.4,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 154/BB 153,flame retardants,egg(s),Spokane River (RM 47-67),7,NA,>0.5,egg(s),unknown/mixed,geometric mean,90.4,0.005,NA,34.8,251,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 154/BB 153,flame retardants,egg(s),Spokane River (RM 68-96),8,NA,>0.5,egg(s),unknown/mixed,geometric mean,36.3,0.005,NA,8.75,68.7,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 154/BB 153,flame retardants,egg(s),"Reference Lakes, Spokane, WA",8,NA,>0.5,egg(s),unknown/mixed,geometric mean,4.51,0.005,NA,1.74,15.1,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 183,flame retardants,egg(s),Boise River,11,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.53,0.005,NA,0.28,1.48,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 183,flame retardants,egg(s),Lower Columbia River (RM 29-84),6,2,0.333333333,egg(s),unknown/mixed,geometric mean,NC,0.005,NA,ND,0.17,ng/g,wet,yes,Productivity,Nesting Success,NC = not calculated (<50% above detection limit)
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 183,flame retardants,egg(s),Lower Columbia River (RM 29-84),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,ND,0.005,NA,NA,NA,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 183,flame retardants,egg(s),Lower Columbia River (RM 85-122),5,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.09,0.005,NA,ND,0.21,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 183,flame retardants,egg(s),Lower Columbia River (RM 124-143),5,NA,>0.5,egg(s),unknown/mixed,geometric mean,ND,0.005,NA,NA,NA,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 183,flame retardants,egg(s),Upper Willamette River (RM 69-178),23,9,0.391304348,egg(s),unknown/mixed,geometric mean,NC,0.005,NA,ND,0.38,ng/g,wet,yes,Productivity,Nesting Success,NC = not calculated (<50% above detection limit)
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 183,flame retardants,egg(s),"Multnomah Channel, OR",5,NA,>0.5,egg(s),unknown/mixed,geometric mean,ND,0.005,NA,NA,NA,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 183,flame retardants,egg(s),"Portland Harbor, OR",5,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.15,0.005,NA,ND,0.45,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 183,flame retardants,egg(s),Spokane River (RM 47-67),7,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.53,0.005,NA,ND,3.93,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 183,flame retardants,egg(s),Spokane River (RM 68-96),8,3,0.375,egg(s),unknown/mixed,geometric mean,NC,0.005,NA,ND,0.82,ng/g,wet,yes,Productivity,Nesting Success,NC = not calculated (<50% above detection limit)
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 183,flame retardants,egg(s),"Reference Lakes, Spokane, WA",8,NA,>0.5,egg(s),unknown/mixed,geometric mean,ND,0.005,NA,NA,NA,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",1993,United States of America,Osprey,Pandion haliaetus,wild,pentachlorobenzene,organochlorine insecticides,egg(s),Willamette River (Upper River),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.17,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,"Pentachlorobenzene has been used as a pesticide, fungicide and flame retardant"
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",1993,United States of America,Osprey,Pandion haliaetus,wild,octachlorostyrene,organochlorine insecticides,egg(s),Willamette River (Upper River),10,4,0.4,egg(s),unknown/mixed,geometric mean,NC,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,"Octachlorostyrene (OCS) is a by-product of the normal industrial chemical processes such as PVC recycling activities, Aluminum refining operations, metal-chlorinated solvent degreasing operations and many others. These materials are known to be highly toxic and when released to the environment are extremely persistent. NC = Not calculated when < 50% of samples with detections (number samples detectable concentrations)"
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",1993,United States of America,Osprey,Pandion haliaetus,wild,HCB (Hexachlorobenzene),organochlorine insecticides,egg(s),Willamette River (Upper River),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,3.77,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",1993,United States of America,Osprey,Pandion haliaetus,wild,b-HCH,organochlorine insecticides,egg(s),Willamette River (Upper River),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,1.34,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,Isomer of Lindane
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",1993,United States of America,Osprey,Pandion haliaetus,wild,"p,p?-DDE",organochlorine insecticides,egg(s),Willamette River (Upper River),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,2347,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",1993,United States of America,Osprey,Pandion haliaetus,wild,Lindane,organochlorine insecticides,egg(s),Willamette River (Upper River),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,ND,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",1993,United States of America,Osprey,Pandion haliaetus,wild,"p,p?-DDD",organochlorine insecticides,egg(s),Willamette River (Upper River),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,98.5,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",1993,United States of America,Osprey,Pandion haliaetus,wild,Mirex,organochlorine insecticides,egg(s),Willamette River (Upper River),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,2.81,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",1993,United States of America,Osprey,Pandion haliaetus,wild,Total chlordanes,organochlorine insecticides,egg(s),Willamette River (Upper River),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,16.7,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,"Total chlordanes = sum of trans-nonachlor, cis-nonachlor, oxychlordane, trans-chlordane, cis-chlordane"
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",1993,United States of America,Osprey,Pandion haliaetus,wild,"p,p?-DDT",organochlorine insecticides,egg(s),Willamette River (Upper River),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,25.3,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",1993,United States of America,Osprey,Pandion haliaetus,wild,Heptachlor epoxide,organochlorine insecticides,egg(s),Willamette River (Upper River),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,3.48,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",1993,United States of America,Osprey,Pandion haliaetus,wild,Dieldrin,organochlorine insecticides,egg(s),Willamette River (Upper River),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,3.96,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",1993,United States of America,Osprey,Pandion haliaetus,wild,Hg,heavy metals,egg(s),Willamette River (Upper River),10,NA,NA,egg(s),unknown/mixed,geometric mean,NA,0.13,NA,NA,NA,?g/g,dry,yes,Productivity,Nesting Success,Not analyzed
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",1993,United States of America,Osprey,Pandion haliaetus,wild,Total PCBs,PCB,egg(s),Willamette River (Upper River),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,688,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,Total PCBs = sum of 42 congeners
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2001,United States of America,Osprey,Pandion haliaetus,wild,pentachlorobenzene,organochlorine insecticides,egg(s),Willamette River (Upper River),11,4,0.36,egg(s),unknown/mixed,geometric mean,NC,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,"Pentachlorobenzene has been used as a pesticide, fungicide and flame retardant. NC = Not calculated when < 50% of samples with detections (number samples detectable concentrations)"
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2001,United States of America,Osprey,Pandion haliaetus,wild,octachlorostyrene,organochlorine insecticides,egg(s),Willamette River (Upper River),11,NA,>0.5,egg(s),unknown/mixed,geometric mean,ND,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,"Octachlorostyrene (OCS) is a by-product of the normal industrial chemical processes such as PVC recycling activities, Aluminum refining operations, metal-chlorinated solvent degreasing operations and many others. These materials are known to be highly toxic and when released to the environment are extremely persistent."
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2001,United States of America,Osprey,Pandion haliaetus,wild,HCB (Hexachlorobenzene),organochlorine insecticides,egg(s),Willamette River (Upper River),11,NA,>0.5,egg(s),unknown/mixed,geometric mean,1.97,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2001,United States of America,Osprey,Pandion haliaetus,wild,b-HCH,organochlorine insecticides,egg(s),Willamette River (Upper River),11,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.45,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,Isomer of Lindane
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2001,United States of America,Osprey,Pandion haliaetus,wild,"p,p?-DDE",organochlorine insecticides,egg(s),Willamette River (Upper River),11,NA,>0.5,egg(s),unknown/mixed,geometric mean,1353,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2001,United States of America,Osprey,Pandion haliaetus,wild,Lindane,organochlorine insecticides,egg(s),Willamette River (Upper River),11,NA,>0.5,egg(s),unknown/mixed,geometric mean,ND,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2001,United States of America,Osprey,Pandion haliaetus,wild,"p,p?-DDD",organochlorine insecticides,egg(s),Willamette River (Upper River),11,NA,>0.5,egg(s),unknown/mixed,geometric mean,29.4,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2001,United States of America,Osprey,Pandion haliaetus,wild,Mirex,organochlorine insecticides,egg(s),Willamette River (Upper River),11,3,0.27,egg(s),unknown/mixed,geometric mean,NC,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,NC = Not calculated when < 50% of samples with detections (number samples detectable concentrations)
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2001,United States of America,Osprey,Pandion haliaetus,wild,photomirex,organochlorine insecticides,egg(s),Willamette River (Upper River),11,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.31,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2001,United States of America,Osprey,Pandion haliaetus,wild,Total chlordanes,organochlorine insecticides,egg(s),Willamette River (Upper River),11,NA,>0.5,egg(s),unknown/mixed,geometric mean,8.53,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2001,United States of America,Osprey,Pandion haliaetus,wild,"p,p?-DDT",organochlorine insecticides,egg(s),Willamette River (Upper River),11,NA,>0.5,egg(s),unknown/mixed,geometric mean,2.08,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2001,United States of America,Osprey,Pandion haliaetus,wild,Heptachlor epoxide,organochlorine insecticides,egg(s),Willamette River (Upper River),11,NA,>0.5,egg(s),unknown/mixed,geometric mean,1.44,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2001,United States of America,Osprey,Pandion haliaetus,wild,Dieldrin,organochlorine insecticides,egg(s),Willamette River (Upper River),11,NA,>0.5,egg(s),unknown/mixed,geometric mean,1.66,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2001,United States of America,Osprey,Pandion haliaetus,wild,Hg,heavy metals,egg(s),Willamette River (Upper River),11,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.33,0.13,NA,NA,NA,?g/g,dry,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2001,United States of America,Osprey,Pandion haliaetus,wild,Total PCBs,PCB,egg(s),Willamette River (Upper River),11,NA,>0.5,egg(s),unknown/mixed,geometric mean,245,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,Total PCBs = sum of 42 congeners
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2006,United States of America,Osprey,Pandion haliaetus,wild,pentachlorobenzene,organochlorine insecticides,egg(s),Willamette River (Upper River),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.18,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,"Pentachlorobenzene has been used as a pesticide, fungicide and flame retardant"
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2006,United States of America,Osprey,Pandion haliaetus,wild,octachlorostyrene,organochlorine insecticides,egg(s),Willamette River (Upper River),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,ND,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,"Octachlorostyrene (OCS) is a by-product of the normal industrial chemical processes such as PVC recycling activities, Aluminum refining operations, metal-chlorinated solvent degreasing operations and many others. These materials are known to be highly toxic and when released to the environment are extremely persistent."
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2006,United States of America,Osprey,Pandion haliaetus,wild,HCB (Hexachlorobenzene),organochlorine insecticides,egg(s),Willamette River (Upper River),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.7,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2006,United States of America,Osprey,Pandion haliaetus,wild,b-HCH,organochlorine insecticides,egg(s),Willamette River (Upper River),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,NA,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,Isomer of Lindane
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2006,United States of America,Osprey,Pandion haliaetus,wild,"p,p?-DDE",organochlorine insecticides,egg(s),Willamette River (Upper River),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,210,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2006,United States of America,Osprey,Pandion haliaetus,wild,Lindane,organochlorine insecticides,egg(s),Willamette River (Upper River),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,ND,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2006,United States of America,Osprey,Pandion haliaetus,wild,"p,p?-DDD",organochlorine insecticides,egg(s),Willamette River (Upper River),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,5.43,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2006,United States of America,Osprey,Pandion haliaetus,wild,Mirex,organochlorine insecticides,egg(s),Willamette River (Upper River),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.87,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2006,United States of America,Osprey,Pandion haliaetus,wild,Total chlordanes,organochlorine insecticides,egg(s),Willamette River (Upper River),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,3.66,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2006,United States of America,Osprey,Pandion haliaetus,wild,"p,p?-DDT",organochlorine insecticides,egg(s),Willamette River (Upper River),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,1.4,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2006,United States of America,Osprey,Pandion haliaetus,wild,Heptachlor epoxide,organochlorine insecticides,egg(s),Willamette River (Upper River),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,1.21,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
Henny et al. 2009,167,"PCDDs, PCDFs, PCBs, OC pestici",2006,United States of America,Osprey,Pandion haliaetus,wild,Dieldrin,organochlorine insecticides,egg(s),Willamette River (Upper River),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,1.68,0.1,NA,NA,NA,?g/kg,wet,yes,Productivity,Nesting Success,
