"","X","ID","Title","start","end","country","common_name","sci_name","subject.type","toxicant.specific","toxicant.group","sample.type","group","sample.size","exposed","proportion","Age.Class","Sex","concentration.level.estimate.type","Detection.limit..if.reported.","SD.of.concentration","minimum","maximum","unit.of.measure","wet.dry.weight.","sublethal.effects.assessed.","sublethal.specific","sublethal.type","concentration","spcode","ctcode","Continent"
"3994",3994,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1971",NA,"United States of America","Sharp-shinned hawk","Accipiter striatus","wild","DDD","organochlorine insecticides","adipose","Polk, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,64,29,"N. America"
"3995",3995,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1971",NA,"United States of America","Sharp-shinned hawk","Accipiter striatus","wild","DDD","organochlorine insecticides","liver","Polk, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,64,29,"N. America"
"3996",3996,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1971",NA,"United States of America","Sharp-shinned hawk","Accipiter striatus","wild","DDD","organochlorine insecticides","muscle","Polk, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,64,29,"N. America"
"3997",3997,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Sharp-shinned hawk","Accipiter striatus","wild","DDD","organochlorine insecticides","brain","Pinellas, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,64,29,"N. America"
"3998",3998,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Sharp-shinned hawk","Accipiter striatus","wild","DDD","organochlorine insecticides","adipose","Pinellas, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,64,29,"N. America"
"3999",3999,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Sharp-shinned hawk","Accipiter striatus","wild","DDD","organochlorine insecticides","liver","Pinellas, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,64,29,"N. America"
"4000",4000,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Sharp-shinned hawk","Accipiter striatus","wild","DDD","organochlorine insecticides","muscle","Pinellas, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,64,29,"N. America"
"4001",4001,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1977",NA,"United States of America","Sharp-shinned hawk","Accipiter striatus","wild","DDD","organochlorine insecticides","brain","Alachua, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,64,29,"N. America"
"4002",4002,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Osprey","Pandion haliaetus","wild","DDD","organochlorine insecticides","brain","Lake, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,53,29,"N. America"
"4003",4003,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Osprey","Pandion haliaetus","wild","DDD","organochlorine insecticides","adipose","Lake, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.43,53,29,"N. America"
"4004",4004,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Osprey","Pandion haliaetus","wild","DDD","organochlorine insecticides","liver","Lake, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.18,53,29,"N. America"
"4005",4005,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Osprey","Pandion haliaetus","wild","DDD","organochlorine insecticides","muscle","Lake, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.09,53,29,"N. America"
"4006",4006,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Osprey","Pandion haliaetus","wild","DDD","organochlorine insecticides","brain","Hillsborough, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.01,53,29,"N. America"
"4007",4007,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Osprey","Pandion haliaetus","wild","DDD","organochlorine insecticides","adipose","Hillsborough, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",1.3,53,29,"N. America"
"4008",4008,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Osprey","Pandion haliaetus","wild","DDD","organochlorine insecticides","liver","Hillsborough, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.01,53,29,"N. America"
"4009",4009,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Osprey","Pandion haliaetus","wild","DDD","organochlorine insecticides","muscle","Hillsborough, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.6,53,29,"N. America"
"4010",4010,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Osprey","Pandion haliaetus","wild","DDD","organochlorine insecticides","brain","Hillsborough, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,53,29,"N. America"
"4011",4011,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Osprey","Pandion haliaetus","wild","DDD","organochlorine insecticides","brain","Citrus, Florida",1,NA,NA,"juvenile","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,53,29,"N. America"
"4012",4012,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1971",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","liver","Palm Beach, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,2,29,"N. America"
"4013",4013,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1971",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","muscle","Palm Beach, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,2,29,"N. America"
"4014",4014,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","brain","Pinellas, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,2,29,"N. America"
"4015",4015,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","liver","Pinellas, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,2,29,"N. America"
"4016",4016,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","muscle","Pinellas, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,2,29,"N. America"
"4017",4017,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","brain","Pinellas, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,2,29,"N. America"
"4018",4018,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","liver","Pinellas, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,2,29,"N. America"
"4019",4019,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","muscle","Pinellas, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,2,29,"N. America"
"4020",4020,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","brain","Pinellas, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.19,2,29,"N. America"
"4021",4021,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","brain","Pinellas, Florida",1,NA,NA,"unknown/mixed","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,2,29,"N. America"
"4022",4022,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","liver","Pinellas, Florida",1,NA,NA,"unknown/mixed","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,2,29,"N. America"
"4023",4023,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","muscle","Pinellas, Florida",1,NA,NA,"unknown/mixed","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.39,2,29,"N. America"
"4024",4024,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","brain","Pinellas, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,2,29,"N. America"
"4025",4025,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","liver","Pinellas, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,2,29,"N. America"
"4026",4026,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","muscle","Pinellas, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,2,29,"N. America"
"4027",4027,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","brain","Pinellas, Florida",1,NA,NA,"unknown/mixed","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,2,29,"N. America"
"4028",4028,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","liver","Pinellas, Florida",1,NA,NA,"unknown/mixed","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,2,29,"N. America"
"4029",4029,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","muscle","Pinellas, Florida",1,NA,NA,"unknown/mixed","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,2,29,"N. America"
"4030",4030,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","brain","Pinellas, Florida",1,NA,NA,"unknown/mixed","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,2,29,"N. America"
"4031",4031,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","liver","Pinellas, Florida",1,NA,NA,"unknown/mixed","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,2,29,"N. America"
"4032",4032,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","muscle","Pinellas, Florida",1,NA,NA,"unknown/mixed","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,2,29,"N. America"
"4033",4033,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","brain","Pinellas, Florida",1,NA,NA,"unknown/mixed","unknown/mixed",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,2,29,"N. America"
"4034",4034,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","liver","Pinellas, Florida",1,NA,NA,"unknown/mixed","unknown/mixed",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,2,29,"N. America"
"4035",4035,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","muscle","Pinellas, Florida",1,NA,NA,"unknown/mixed","unknown/mixed",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,2,29,"N. America"
"4036",4036,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1976",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","brain","Pinellas, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,2,29,"N. America"
"4037",4037,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1977",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","brain","Citrus, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,2,29,"N. America"
"4038",4038,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1977",NA,"United States of America","American Kestrel","Falco sparverius","wild","DDT","organochlorine insecticides","brain","Alachua, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,2,29,"N. America"
"4039",4039,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Eastern Screech-owl","Megascops asio","wild","DDT","organochlorine insecticides","brain","Alachua, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,26,29,"N. America"
"4040",4040,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Eastern Screech-owl","Megascops asio","wild","DDT","organochlorine insecticides","liver","Alachua, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,26,29,"N. America"
"4041",4041,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Eastern Screech-owl","Megascops asio","wild","DDT","organochlorine insecticides","muscle","Alachua, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.68,26,29,"N. America"
"4042",4042,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Eastern Screech-owl","Megascops asio","wild","DDT","organochlorine insecticides","liver","Alachua, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.1,26,29,"N. America"
"4043",4043,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Eastern Screech-owl","Megascops asio","wild","DDT","organochlorine insecticides","muscle","Alachua, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.08,26,29,"N. America"
"4044",4044,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Eastern Screech-owl","Megascops asio","wild","DDT","organochlorine insecticides","liver","Hillsborough, Florida",1,NA,NA,"unknown/mixed","unknown/mixed",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,26,29,"N. America"
"4045",4045,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Eastern Screech-owl","Megascops asio","wild","DDT","organochlorine insecticides","muscle","Hillsborough, Florida",1,NA,NA,"unknown/mixed","unknown/mixed",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,26,29,"N. America"
"4046",4046,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Eastern Screech-owl","Megascops asio","wild","DDT","organochlorine insecticides","muscle","Hillsborough, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.03,26,29,"N. America"
"4047",4047,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Eastern Screech-owl","Megascops asio","wild","DDT","organochlorine insecticides","liver","Hillsborough, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,26,29,"N. America"
"4048",4048,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Eastern Screech-owl","Megascops asio","wild","DDT","organochlorine insecticides","brain","Pinellas, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,26,29,"N. America"
"4049",4049,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Eastern Screech-owl","Megascops asio","wild","DDT","organochlorine insecticides","brain","Hillsborough, Florida",1,NA,NA,"juvenile","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,26,29,"N. America"
"4050",4050,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Eastern Screech-owl","Megascops asio","wild","DDT","organochlorine insecticides","brain","Hillsborough, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,26,29,"N. America"
"4051",4051,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Eastern Screech-owl","Megascops asio","wild","DDT","organochlorine insecticides","brain","Pinellas, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,26,29,"N. America"
"4052",4052,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Eastern Screech-owl","Megascops asio","wild","DDT","organochlorine insecticides","brain","Pasco, Florida",1,NA,NA,"juvenile","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.28,26,29,"N. America"
"4053",4053,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1976",NA,"United States of America","Eastern Screech-owl","Megascops asio","wild","DDT","organochlorine insecticides","brain","Lafayette, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,26,29,"N. America"
"4054",4054,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1976",NA,"United States of America","Eastern Screech-owl","Megascops asio","wild","DDT","organochlorine insecticides","brain","Pinellas, Florida",1,NA,NA,"juvenile","unknown/mixed",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.6,26,29,"N. America"
"4055",4055,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1976",NA,"United States of America","Eastern Screech-owl","Megascops asio","wild","DDT","organochlorine insecticides","brain","Pinellas, Florida",1,NA,NA,"juvenile","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,26,29,"N. America"
"4056",4056,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1976",NA,"United States of America","Eastern Screech-owl","Megascops asio","wild","DDT","organochlorine insecticides","brain","Pinellas, Florida",1,NA,NA,"juvenile","unknown/mixed",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,26,29,"N. America"
"4057",4057,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1976",NA,"United States of America","Eastern Screech-owl","Megascops asio","wild","DDT","organochlorine insecticides","brain","Pinellas, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,26,29,"N. America"
"4058",4058,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1977",NA,"United States of America","Eastern Screech-owl","Megascops asio","wild","DDT","organochlorine insecticides","brain","Citrus, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,26,29,"N. America"
"4059",4059,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1977",NA,"United States of America","Eastern Screech-owl","Megascops asio","wild","DDT","organochlorine insecticides","brain","Putnam, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,26,29,"N. America"
"4060",4060,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1978",NA,"United States of America","Eastern Screech-owl","Megascops asio","wild","DDT","organochlorine insecticides","brain","Alachua, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,26,29,"N. America"
"4061",4061,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1973",NA,"United States of America","Barred Owl","Strix varia","wild","DDT","organochlorine insecticides","liver","Alachua, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,9,29,"N. America"
"4062",4062,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1973",NA,"United States of America","Barred Owl","Strix varia","wild","DDT","organochlorine insecticides","muscle","Alachua, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.51,9,29,"N. America"
"4063",4063,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1973",NA,"United States of America","Barred Owl","Strix varia","wild","DDT","organochlorine insecticides","brain","Marion, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,9,29,"N. America"
"4064",4064,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1973",NA,"United States of America","Barred Owl","Strix varia","wild","DDT","organochlorine insecticides","adipose","Marion, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.58,9,29,"N. America"
"4065",4065,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1973",NA,"United States of America","Barred Owl","Strix varia","wild","DDT","organochlorine insecticides","liver","Marion, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.01,9,29,"N. America"
"4066",4066,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1973",NA,"United States of America","Barred Owl","Strix varia","wild","DDT","organochlorine insecticides","muscle","Marion, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,9,29,"N. America"
"4067",4067,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Barred Owl","Strix varia","wild","DDT","organochlorine insecticides","brain","Lake, Florida",1,NA,NA,"unknown/mixed","unknown/mixed",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,9,29,"N. America"
"4068",4068,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Barred Owl","Strix varia","wild","DDT","organochlorine insecticides","liver","Lake, Florida",1,NA,NA,"unknown/mixed","unknown/mixed",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,9,29,"N. America"
"4069",4069,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Barred Owl","Strix varia","wild","DDT","organochlorine insecticides","muscle","Lake, Florida",1,NA,NA,"unknown/mixed","unknown/mixed",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,9,29,"N. America"
"4070",4070,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Barred Owl","Strix varia","wild","DDT","organochlorine insecticides","brain","Hillsborough, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,9,29,"N. America"
"4071",4071,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Barred Owl","Strix varia","wild","DDT","organochlorine insecticides","liver","Hillsborough, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,9,29,"N. America"
"4072",4072,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Barred Owl","Strix varia","wild","DDT","organochlorine insecticides","muscle","Hillsborough, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.03,9,29,"N. America"
"4073",4073,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Barred Owl","Strix varia","wild","DDT","organochlorine insecticides","adipose","Putnam, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,9,29,"N. America"
"4074",4074,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Barred Owl","Strix varia","wild","DDT","organochlorine insecticides","liver","Putnam, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,9,29,"N. America"
"4075",4075,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Barred Owl","Strix varia","wild","DDT","organochlorine insecticides","muscle","Putnam, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,9,29,"N. America"
"4076",4076,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Barred Owl","Strix varia","wild","DDT","organochlorine insecticides","brain","Hernando, Florida",1,NA,NA,"adult","unknown/mixed",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,9,29,"N. America"
"4077",4077,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Barred Owl","Strix varia","wild","DDT","organochlorine insecticides","brain","Pasco, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,9,29,"N. America"
"4078",4078,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1976",NA,"United States of America","Barred Owl","Strix varia","wild","DDT","organochlorine insecticides","brain","Alachua, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,9,29,"N. America"
"4079",4079,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1976",NA,"United States of America","Barred Owl","Strix varia","wild","DDT","organochlorine insecticides","brain","Sumpter, Florida",1,NA,NA,"adult","unknown/mixed",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,9,29,"N. America"
"4080",4080,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1976",NA,"United States of America","Barred Owl","Strix varia","wild","DDT","organochlorine insecticides","brain","Levy, Florida",1,NA,NA,"adult","unknown/mixed",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,9,29,"N. America"
