"","X","ID","Title","start","end","country","common_name","sci_name","subject.type","toxicant.specific","toxicant.group","sample.type","group","sample.size","exposed","proportion","Age.Class","Sex","concentration.level.estimate.type","Detection.limit..if.reported.","SD.of.concentration","minimum","maximum","unit.of.measure","wet.dry.weight.","sublethal.effects.assessed.","sublethal.specific","sublethal.type","concentration","spcode","ctcode","Continent"
"34",34,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","HCB (Hexachlorobenzene)","organochlorine insecticides","blood",NA,6,NA,0.16,"adult","unknown/mixed","arithmetic mean","0.02",NA,NA,NA,"ng g-1","wet","no","none","none",NA,71,20,"Asia"
"35",35,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 100","flame retardants","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.01",NA,"0.03","0.01","ng g-1","dry","no","none","none",0.01,71,20,"Asia"
"36",36,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","p,p'-DDE","organochlorine insecticides","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.05",NA,"54.59","7.52","ng g-1","dry","no","none","none",25.78,71,20,"Asia"
"37",37,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 99","flame retardants","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.01",NA,"0.71","0.05","ng g-1","dry","no","none","none",0.31,71,20,"Asia"
"38",38,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 154","flame retardants","feathers - tail/retrices",NA,6,NA,0,"adult","unknown/mixed","arithmetic mean","0.01",NA,NA,NA,"ng g-1","dry","no","none","none",NA,71,20,"Asia"
"39",39,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 153","flame retardants","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.01",NA,"0.47","0.1","ng g-1","dry","no","none","none",0.2,71,20,"Asia"
"40",40,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 183","flame retardants","feathers - tail/retrices",NA,6,NA,0,"adult","unknown/mixed","arithmetic mean","0.01",NA,NA,NA,"ng g-1","dry","no","none","none",NA,71,20,"Asia"
"41",41,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 28","flame retardants","feathers - tail/retrices",NA,6,NA,0,"adult","unknown/mixed","arithmetic mean","0.01",NA,NA,NA,"ng g-1","dry","No","none","none",NA,71,20,"Asia"
"42",42,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","p,p'-DDT","organochlorine insecticides","blood",NA,6,NA,0,"adult","unknown/mixed","arithmetic mean","0.02",NA,NA,NA,"ng g-1","wet","no","none","none",NA,71,20,"Asia"
"43",43,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BTBPE","flame retardants","feathers - tail/retrices",NA,6,NA,0,"adult","unknown/mixed","arithmetic mean","3*SD of procedural blank",NA,NA,NA,"ng g-1","dry","no","none","none",NA,71,20,"Asia"
"44",44,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 47","flame retardants","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.01",NA,"1.1","0.1","ng g-1","dry","no","none","none",0.25,71,20,"Asia"
"45",45,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","HCB (Hexachlorobenzene)","organochlorine insecticides","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.02",NA,"0.48","0.03","ng g-1","dry","no","none","none",0.09,71,20,"Asia"
"46",46,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BTBPE","flame retardants","blood",NA,6,NA,0.16,"adult","unknown/mixed","arithmetic mean","3*SD of procedural blank",NA,NA,NA,"ng g-1","wet","no","none","none",NA,71,20,"Asia"
"47",47,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","Sum of all PBDEs","flame retardants","blood",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","3*SD of procedural blank",NA,NA,"0.33","ng g-1","wet","no","none","none",1.61,71,20,"Asia"
"48",48,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 183","flame retardants","blood",NA,6,NA,0.33,"adult","unknown/mixed","arithmetic mean","4.00E-03",NA,NA,NA,"ng g-1","wet","no","none","none",NA,71,20,"Asia"
"49",49,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 153","flame retardants","blood",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","4.00E-03",NA,NA,"0.06","ng g-1","wet","no","none","none",0.17,71,20,"Asia"
"50",50,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 154","flame retardants","blood",NA,6,NA,0.33,"adult","unknown/mixed","arithmetic mean","4.00E-03",NA,NA,NA,"ng g-1","wet","no","none","none",NA,71,20,"Asia"
"51",51,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 99","flame retardants","blood",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","2.00E-03",NA,NA,"0.03","ng g-1","wet","no","none","none",0.47,71,20,"Asia"
"52",52,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 100","flame retardants","blood",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","2.00E-03",NA,NA,"0.03","ng g-1","wet","no","none","none",0.37,71,20,"Asia"
"53",53,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 47","flame retardants","blood",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","2.00E-03",NA,"1.33","0.09","ng g-1","wet","no","none","none",0.63,71,20,"Asia"
"54",54,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 28","flame retardants","blood",NA,6,NA,0.16,"adult","unknown/mixed","arithmetic mean","2.00E-03",NA,NA,NA,"ng g-1","wet","No","none","none",NA,71,20,"Asia"
"55",55,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","p,p'-DDT","organochlorine insecticides","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.05",NA,"18.65","3.9","ng g-1",NA,"no","none","none",10.68,71,20,"Asia"
"56",56,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","Sum of all PBDEs","flame retardants","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","3*SD of procedural blank",NA,"7.88","0.3","ng g-1","dry","no","none","none",1.88,71,20,"Asia"
"57",57,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","p,p'-DDT","organochlorine insecticides","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.05",NA,"1.94","12.05","ng g-1","dry","no","none","none",4.97,12,20,"Asia"
"58",58,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 47","flame retardants","blood",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","2.00E-03",NA,"0.02","1","ng g-1","wet","no","none","none",0.53,12,20,"Asia"
"59",59,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 100","flame retardants","blood",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","2.00E-03",NA,"0.01","1.25","ng g-1","wet","no","none","none",0.03,12,20,"Asia"
"60",60,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 99","flame retardants","blood",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","2.00E-03",NA,"0.02","1.25","ng g-1","wet","no","none","none",0.11,12,20,"Asia"
"61",61,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 28","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.01",NA,"0.01","0.09","ng g-1","dry","No","none","none",0.07,12,20,"Asia"
"62",62,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","HCB (Hexachlorobenzene)","organochlorine insecticides","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.02",NA,"0.08","0.19","ng g-1","dry","no","none","none",0.13,12,20,"Asia"
"63",63,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","p,p'-DDE","organochlorine insecticides","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.05",NA,"2.43","16.68","ng g-1","dry","no","none","none",5.57,12,20,"Asia"
"64",64,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BTBPE","flame retardants","blood",NA,8,NA,0,"adult","unknown/mixed","arithmetic mean","3*SD of procedural blank",NA,NA,NA,"ng g-1","wet","no","none","none",NA,12,20,"Asia"
"65",65,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","Sum of all PBDEs","flame retardants","blood",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","3*SD of procedural blank",NA,"0.1","4.25","ng g-1","wet","no","none","none",1.17,12,20,"Asia"
