IOCOrder,BLFamilyLatin,BLFamilyEnglish,sci_name,common_name,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,Diet-Source,Diet-Certainty,Diet-EnteredBy,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,ForStrat-Source,ForStrat-SpecLevel,ForStrat-EnteredBy,Nocturnal,BodyMass-Value,BodyMass-Source,BodyMass-SpecLevel,BodyMass-Comment,Record-Comment
Strigiformes,Strigidae,Owls,Megascops nudipes,Puerto Rican Screech-owl,90,0,0,0,10,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,50,50,0,0,0,0,Ref_5,1,Christian,1,137.34,Dunning08,1,,
Strigiformes,Strigidae,Owls,Otus podarginus,Palau Scops-owl,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,80,10,10,0,0,0,Ref_5,1,Christian,1,123.28,GenAvg,0,,
Strigiformes,Strigidae,Owls,Megascops albogularis,White-throated Screech-owl,90,0,0,0,10,0,0,0,0,0,Invertebrate,Ref_5,C,Hamish,0,0,0,0,10,90,0,0,Ref_5,1,Other,1,159,Dunning08,1,,
Strigiformes,Strigidae,Owls,Mimizuku gurneyi,Giant Scops-owl,60,30,10,0,0,0,0,0,0,0,Invertebrate,Ref_5,D2,Hamish,0,0,20,30,40,10,0,0,Ref_5,1,Other,1,253,PrimScale,1,MarceloR,
Strigiformes,Strigidae,Owls,Bubo virginianus,Great Horned Owl,10,90,0,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,10,80,10,0,0,0,0,Ref_5,1,Christian,1,1575.7,PrimScale,1,,
Strigiformes,Strigidae,Owls,Bubo bubo,Eurasian Eagle-owl,10,80,10,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,0,80,10,10,0,0,0,Ref_5,1,Walter,1,2668.51,Dunning08,1,,
Strigiformes,Strigidae,Owls,Bubo bengalensis,Rock Eagle-owl,10,70,10,10,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,10,80,10,0,0,0,0,Ref_5,1,Christian,1,1100,Dunning08,1,,
Strigiformes,Strigidae,Owls,Bubo ascalaphus,Pharaoh Eagle-owl,10,80,10,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,0,90,10,0,0,0,0,Ref_5,1,Christian,1,2100,PrimScale,1,,
Strigiformes,Strigidae,Owls,Bubo capensis,Cape Eagle-owl,0,90,10,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,0,80,10,0,0,10,0,Ref_5,1,Christian,1,1118.64,Dunning08,1,,
Strigiformes,Strigidae,Owls,Bubo africanus,Spotted Eagle-owl,60,20,20,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,80,0,0,0,20,0,Ref_5,1,Christian,1,685,PrimScale,1,,
