"","ID","start","end","country","common_name","sci_name","subject.type","toxicant.specific","toxicant.group","sample.type","group","sample.size","exposed","proportion","Age.Class","Sex","concentration.level.estimate.type","concentration..ND.for.non.detects.","Detection.limit..if.reported.","SD.of.concentration","minimum","maximum","unit.of.measure","wet.dry.weight.","sublethal.effects.assessed.","sublethal.specific","sublethal.type","Continent","BodyMass.Value","Title"
"34",112,"unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","HCB (Hexachlorobenzene)","organochlorine insecticides","blood",NA,6,NA,0.16,"adult","unknown/mixed","arithmetic mean","ND","0.02",NA,NA,NA,"ng g−1","wet","no","none","none","Asia",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan"
"35",112,"unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 100","flame retardants","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.01","0.01",NA,"0.03","0.01","ng g−1","dry","no","none","none","Asia",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan"
"36",112,"unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","p,p′-DDE","organochlorine insecticides","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","25.78","0.05",NA,"54.59","7.52","ng g−1","dry","no","none","none","Asia",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan"
"37",112,"unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 99","flame retardants","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.31","0.01",NA,"0.71","0.05","ng g−1","dry","no","none","none","Asia",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan"
"38",112,"unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 154","flame retardants","feathers - tail/retrices",NA,6,NA,0,"adult","unknown/mixed","arithmetic mean","ND","0.01",NA,NA,NA,"ng g−1","dry","no","none","none","Asia",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan"
"39",112,"unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 153","flame retardants","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.2","0.01",NA,"0.47","0.1","ng g−1","dry","no","none","none","Asia",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan"
"40",112,"unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 183","flame retardants","feathers - tail/retrices",NA,6,NA,0,"adult","unknown/mixed","arithmetic mean","ND","0.01",NA,NA,NA,"ng g−1","dry","no","none","none","Asia",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan"
"41",112,"unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 28","flame retardants","feathers - tail/retrices",NA,6,NA,0,"adult","unknown/mixed","arithmetic mean","ND","0.01",NA,NA,NA,"ng g−1","dry","No","none","none","Asia",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan"
"42",112,"unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","p,p′-DDT","organochlorine insecticides","blood",NA,6,NA,0,"adult","unknown/mixed","arithmetic mean","ND","0.02",NA,NA,NA,"ng g−1","wet","no","none","none","Asia",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan"
"43",112,"unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BTBPE","flame retardants","feathers - tail/retrices",NA,6,NA,0,"adult","unknown/mixed","arithmetic mean","ND","3*SD of procedural blank",NA,NA,NA,"ng g−1","dry","no","none","none","Asia",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan"
"44",112,"unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 47","flame retardants","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.25","0.01",NA,"1.1000000000000001","0.1","ng g−1","dry","no","none","none","Asia",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan"
"45",112,"unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","HCB (Hexachlorobenzene)","organochlorine insecticides","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.09","0.02",NA,"0.48","0.03","ng g−1","dry","no","none","none","Asia",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan"
"46",112,"unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BTBPE","flame retardants","blood",NA,6,NA,0.16,"adult","unknown/mixed","arithmetic mean","ND","3*SD of procedural blank",NA,NA,NA,"ng g−1","wet","no","none","none","Asia",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan"
"47",112,"unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","Sum of all PBDEs","flame retardants","blood",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","1.61","3*SD of procedural blank",NA,NA,"0.33","ng g−1","wet","no","none","none","Asia",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan"
"48",112,"unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 183","flame retardants","blood",NA,6,NA,0.33,"adult","unknown/mixed","arithmetic mean","ND","4.0000000000000001E-3",NA,NA,NA,"ng g−1","wet","no","none","none","Asia",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan"
"49",112,"unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 153","flame retardants","blood",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.17","4.0000000000000001E-3",NA,NA,"0.06","ng g−1","wet","no","none","none","Asia",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan"
"50",112,"unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 154","flame retardants","blood",NA,6,NA,0.33,"adult","unknown/mixed","arithmetic mean","ND","4.0000000000000001E-3",NA,NA,NA,"ng g−1","wet","no","none","none","Asia",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan"
