ID,Title,study period,country,Species (English name),Species (scientific name),subject type,toxicant specific,toxicant group,sample type,group,sample size,no. exposed,"OR if given, proportion exposed",Age Class,Sex,concentration level estimate type,concentration (ND for non-detects),Detection limit (if reported),SD of concentration,minimum,maximum,unit of measure,wet/dry weight?,sublethal effects assessed?,sublethal specific,sublethal type,Notes,,
164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,endosulfan I,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.36,NA,NA,0.04,2.14,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,endosulfan II,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.18,NA,NA,0.05,0.81,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,endosulfan sulfate,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,1.01,NA,NA,0.06,4.01,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,"p,p?-DDT",organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.11,NA,NA,0.06,0.88,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,"p,p?-DDD",organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.52,NA,NA,0.05,1.87,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,"p,p?-DDE",organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,3.34,NA,NA,0.95,9.42,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,total organochlorine insecticides,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,13.87,NA,NA,5.05,27.65,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Griffon Vulture,Gyps fulvus,wild,a-HCH,organochlorine insecticides,blood,NA,15,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.86,NA,NA,0.69,1.28,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Griffon Vulture,Gyps fulvus,wild,b-HCH,organochlorine insecticides,blood,NA,15,NA,NA,unknown/mixed,unknown/mixed,geometric mean,2.25,NA,NA,1.52,3.57,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Griffon Vulture,Gyps fulvus,wild,Lindane,organochlorine insecticides,blood,NA,15,NA,NA,unknown/mixed,unknown/mixed,geometric mean,1.66,NA,NA,1.19,2.37,ng/g,wet,no,none,none,,,
