"","ID","Title","start","end","country","common_name","sci_name","subject.type","toxicant.specific","toxicant.group","sample.type","group","sample.size","exposed","proportion","Age.Class","Sex","concentration.level.estimate.type","Detection.limit..if.reported.","SD.of.concentration","minimum","maximum","unit.of.measure","wet.dry.weight.","sublethal.effects.assessed.","sublethal.specific","sublethal.type","concentration","spcode","ctcode","Continent"
"38",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 154","flame retardants","feathers - tail/retrices",NA,6,NA,0,"adult","unknown/mixed","arithmetic mean","0.01",NA,NA,NA,"ng g−1","dry","no","none","none",NA,78,20,"Asia"
"39",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 153","flame retardants","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.01",NA,"0.47","0.1","ng g−1","dry","no","none","none",0.2,78,20,"Asia"
"40",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 183","flame retardants","feathers - tail/retrices",NA,6,NA,0,"adult","unknown/mixed","arithmetic mean","0.01",NA,NA,NA,"ng g−1","dry","no","none","none",NA,78,20,"Asia"
"41",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 28","flame retardants","feathers - tail/retrices",NA,6,NA,0,"adult","unknown/mixed","arithmetic mean","0.01",NA,NA,NA,"ng g−1","dry","No","none","none",NA,78,20,"Asia"
"42",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","p,p′-DDT","organochlorine insecticides","blood",NA,6,NA,0,"adult","unknown/mixed","arithmetic mean","0.02",NA,NA,NA,"ng g−1","wet","no","none","none",NA,78,20,"Asia"
"43",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BTBPE","flame retardants","feathers - tail/retrices",NA,6,NA,0,"adult","unknown/mixed","arithmetic mean","3*SD of procedural blank",NA,NA,NA,"ng g−1","dry","no","none","none",NA,78,20,"Asia"
"44",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 47","flame retardants","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.01",NA,"1.1000000000000001","0.1","ng g−1","dry","no","none","none",0.25,78,20,"Asia"
"45",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","HCB (Hexachlorobenzene)","organochlorine insecticides","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.02",NA,"0.48","0.03","ng g−1","dry","no","none","none",0.09,78,20,"Asia"
"46",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BTBPE","flame retardants","blood",NA,6,NA,0.16,"adult","unknown/mixed","arithmetic mean","3*SD of procedural blank",NA,NA,NA,"ng g−1","wet","no","none","none",NA,78,20,"Asia"
"47",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","Sum of all PBDEs","flame retardants","blood",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","3*SD of procedural blank",NA,NA,"0.33","ng g−1","wet","no","none","none",1.61,78,20,"Asia"
"48",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 183","flame retardants","blood",NA,6,NA,0.33,"adult","unknown/mixed","arithmetic mean","4.0000000000000001E-3",NA,NA,NA,"ng g−1","wet","no","none","none",NA,78,20,"Asia"
"49",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 153","flame retardants","blood",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","4.0000000000000001E-3",NA,NA,"0.06","ng g−1","wet","no","none","none",0.17,78,20,"Asia"
"50",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 154","flame retardants","blood",NA,6,NA,0.33,"adult","unknown/mixed","arithmetic mean","4.0000000000000001E-3",NA,NA,NA,"ng g−1","wet","no","none","none",NA,78,20,"Asia"
"51",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 99","flame retardants","blood",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","2E-3",NA,NA,"0.03","ng g−1","wet","no","none","none",0.47,78,20,"Asia"
"52",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 100","flame retardants","blood",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","2E-3",NA,NA,"0.03","ng g−1","wet","no","none","none",0.37,78,20,"Asia"
"53",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 47","flame retardants","blood",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","2E-3",NA,"1.33","0.09","ng g−1","wet","no","none","none",0.63,78,20,"Asia"
"54",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 28","flame retardants","blood",NA,6,NA,0.16,"adult","unknown/mixed","arithmetic mean","2E-3",NA,NA,NA,"ng g−1","wet","No","none","none",NA,78,20,"Asia"
"55",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","p,p′-DDT","organochlorine insecticides","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.05",NA,"18.649999999999999","3.9","ng g−1",NA,"no","none","none",10.68,78,20,"Asia"
"56",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","Sum of all PBDEs","flame retardants","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","3*SD of procedural blank",NA,"7.88","0.3","ng g−1","dry","no","none","none",1.88,78,20,"Asia"
"57",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","p,p′-DDT","organochlorine insecticides","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.05",NA,"1.94","12.05","ng g−1","dry","no","none","none",4.97,13,20,"Asia"
"58",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 47","flame retardants","blood",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","2E-3",NA,"0.02","1","ng g−1","wet","no","none","none",0.53,13,20,"Asia"
"59",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 100","flame retardants","blood",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","2E-3",NA,"0.01","1.25","ng g−1","wet","no","none","none",0.03,13,20,"Asia"
"60",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 99","flame retardants","blood",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","2E-3",NA,"0.02","1.25","ng g−1","wet","no","none","none",0.11,13,20,"Asia"
"61",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 28","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.01",NA,"0.01","0.09","ng g−1","dry","No","none","none",0.07,13,20,"Asia"
"62",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","HCB (Hexachlorobenzene)","organochlorine insecticides","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.02",NA,"0.08","0.19","ng g−1","dry","no","none","none",0.13,13,20,"Asia"
"63",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","p,p′-DDE","organochlorine insecticides","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.05",NA,"2.4300000000000002","16.68","ng g−1","dry","no","none","none",5.57,13,20,"Asia"
"64",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BTBPE","flame retardants","blood",NA,8,NA,0,"adult","unknown/mixed","arithmetic mean","3*SD of procedural blank",NA,NA,NA,"ng g−1","wet","no","none","none",NA,13,20,"Asia"
"65",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","Sum of all PBDEs","flame retardants","blood",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","3*SD of procedural blank",NA,"0.1","4.25","ng g−1","wet","no","none","none",1.17,13,20,"Asia"
"66",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 183","flame retardants","blood",NA,8,NA,0.37,"adult","unknown/mixed","arithmetic mean","4.0000000000000001E-3",NA,NA,NA,"ng g−1","wet","no","none","none",NA,13,20,"Asia"
"67",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 153","flame retardants","blood",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","4.0000000000000001E-3",NA,"0.01","0.75","ng g−1","wet","no","none","none",0.03,13,20,"Asia"
"68",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 154","flame retardants","blood",NA,8,NA,0.12,"adult","unknown/mixed","arithmetic mean","4.0000000000000001E-3",NA,NA,NA,"ng g−1","wet","no","none","none",NA,13,20,"Asia"
"69",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","HCB (Hexachlorobenzene)","organochlorine insecticides","blood",NA,8,NA,0,"adult","unknown/mixed","arithmetic mean","0.02",NA,NA,NA,"ng g−1","wet","no","none","none",NA,13,20,"Asia"
"70",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","p,p′-DDT","organochlorine insecticides","blood",NA,8,NA,0,"adult","unknown/mixed","arithmetic mean","0.02",NA,NA,NA,"ng g−1","wet","no","none","none",NA,13,20,"Asia"
"71",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 47","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.01",NA,"0.19","1.1399999999999999","ng g−1","dry","no","none","none",0.74,13,20,"Asia"
"72",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 100","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.01",NA,"0.04","0.05","ng g−1","dry","no","none","none",0.21,13,20,"Asia"
"73",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BTBPE","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","3*SD of procedural blank",NA,"0.01",NA,"ng g−1","dry","no","none","none",0.14,13,20,"Asia"
"74",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","Sum of all PBDEs","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","3*SD of procedural blank",NA,"0.68","6.44","ng g−1","dry","no","none","none",2.63,13,20,"Asia"
"75",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 183","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.01",NA,"0.01","2.2000000000000002","ng g−1","dry","no","none","none",0.3,13,20,"Asia"
"76",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","p,p′-DDE","organochlorine insecticides","blood",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.02",NA,"0.03","17.5","ng g−1","wet","no","none","none",1.56,13,20,"Asia"
"77",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 99","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.01",NA,"0.28000000000000003","1.99","ng g−1","dry","no","none","none",0.93,13,20,"Asia"
"78",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 28","flame retardants","blood",NA,8,NA,0,"adult","unknown/mixed","arithmetic mean","2E-3",NA,NA,NA,"ng g−1","wet","No","none","none",NA,13,20,"Asia"
"79",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 154","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.01",NA,"0.06","0.23","ng g−1","dry","no","none","none",0.15,13,20,"Asia"
"80",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 153","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.01",NA,"0.09","0.38","ng g−1","dry","no","none","none",0.17,13,20,"Asia"
"81",113,"SECONDARY ANTICOAGULANT RODENT","2013","2015","United States of America","Red-Tailed Hawk","Buteo jamaicensis","wild","chlorophacinone","anticoagulant rodenticides","blood",NA,97,3,NA,"juvenile","unknown/mixed",NA,"UNK",NA,NA,NA,NA,NA,"yes","Body Condition","Morphology",NA,66,29,"N. America"
"82",113,"SECONDARY ANTICOAGULANT RODENT","2013","2015","United States of America","Red-Tailed Hawk","Buteo jamaicensis","wild","bromadiolone","anticoagulant rodenticides","blood",NA,97,1,NA,"juvenile","unknown/mixed",NA,"UNK",NA,NA,NA,NA,NA,"no","Body Condition","Morphology",NA,66,29,"N. America"
"83",113,"SECONDARY ANTICOAGULANT RODENT","2013","2015","United States of America","Red-Tailed Hawk","Buteo jamaicensis","wild","diphacinone","anticoagulant rodenticides","blood",NA,97,5,NA,"juvenile","unknown/mixed",NA,"UNK",NA,NA,NA,NA,NA,"no","Body Condition","Morphology",NA,66,29,"N. America"
"84",113,"SECONDARY ANTICOAGULANT RODENT","2013","2015","United States of America","Red-Tailed Hawk","Buteo jamaicensis","wild","brodifacoum","anticoagulant rodenticides","blood",NA,97,1,NA,"juvenile","unknown/mixed",NA,"UNK",NA,NA,NA,NA,NA,"no","Body Condition","Morphology",NA,66,29,"N. America"
