"","ID","Title","study period","country","Species (English name)","Species (scientific name)","subject type","toxicant specific","toxicant group","sample type","group","sample size","no. exposed","OR if given, proportion exposed","Age Class","Sex","concentration level estimate type","concentration (ND for non-detects)","Detection limit (if reported)","SD of concentration","minimum","maximum","unit of measure","wet/dry weight?","sublethal effects assessed?","sublethal specific","sublethal type","Notes","...29","...30"
"36",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","p,p'-DDT","organochlorine insecticides","egg(s)","1982, Site E:C, egg 3",1,"NA","NA","egg(s)","unknown/mixed","n=1","0.11","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"37",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","b-HCH","organochlorine insecticides","egg(s)","1982, Site E:C, egg 3",1,"NA","NA","egg(s)","unknown/mixed","n=1","1.31","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"38",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","PCB","PCB","egg(s)","1982, Site E:C, egg 3",1,"NA","NA","egg(s)","unknown/mixed","n=1","1.03","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"39",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","Heptachlor epoxide","organochlorine insecticides","egg(s)","1982, Site E:C, egg 3",1,"NA","NA","egg(s)","unknown/mixed","n=1","0.41","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"40",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","oxychlordane","organochlorine insecticides","egg(s)","1982, Site E:C, egg 3",1,"NA","NA","egg(s)","unknown/mixed","n=1","0.19","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"41",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","Dieldrin","organochlorine insecticides","egg(s)","1982, Site E:C, egg 3",1,"NA","NA","egg(s)","unknown/mixed","n=1","0.1","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"42",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","Hexachlorobenzene","organochlorine insecticides","egg(s)","1982, Site E:C, egg 3",1,"NA","NA","egg(s)","unknown/mixed","n=1","0.5","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"43",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","Endrin","organochlorine insecticides","egg(s)","1982, Site E:C, egg 3",1,"NA","NA","egg(s)","unknown/mixed","n=1","0.04","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"44",148,"Dramatic declines of DDE and o","1978-1979","United States of America","Peregrine Falcon","Falco peregrinus","wild","DDE","organochlorine insecticides","blood","NA",21,"NA","NA","unknown/mixed","female","geometric mean","0.879",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"45",148,"Dramatic declines of DDE and o","1980","United States of America","Peregrine Falcon","Falco peregrinus","wild","DDE","organochlorine insecticides","blood","NA",63,"NA","NA","unknown/mixed","female","geometric mean","0.61699999999999999",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
