C,publication year,study period,country,scientific name,English name,subject type,toxicant group,toxicant specific,sample type,group,sample size,no. exposed,"OR if given, proportion exposed",Age Class,Sex,concentration level estimate type,concentration (ND for non-detects),Detection limit (if reported),SD of concentration,minimum,maximum,unit of measure,wet/dry weight?,sublethal effects assessed?,sublethal type,sublethal specific,Notes,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1985–1989,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,PCBs,tot-PCB,eggs,Inland central Sweden,3,NA,NA,NA,unknown/mixed,geometric mean,310,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1990–1994,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,organochlorine insecticides,DDE,eggs,Inland central Sweden,4,NA,NA,NA,unknown/mixed,geometric mean,49,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1990–1994,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,PCBs,tot-PCB,eggs,Inland central Sweden,4,NA,NA,NA,unknown/mixed,geometric mean,190,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1995–1997,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,organochlorine insecticides,DDE,eggs,Inland central Sweden,2,NA,NA,NA,unknown/mixed,geometric mean,78,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1995–1997,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,PCBs,tot-PCB,eggs,Inland central Sweden,2,NA,NA,NA,unknown/mixed,geometric mean,560,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Clark et al. 1998,1998,1993,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,organochlorine insecticides,DDD,eggs,New Jersey-Delaware Bay drainage-Raccoon Creek,1,NA,NA,NA,unknown/mixed,n=1,2.3,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Clark et al. 1998,1998,1994,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,organochlorine insecticides,DDD,eggs,New Jersey-Delaware Bay drainage-Raccoon Creek,1,NA,NA,NA,unknown/mixed,n=1,2.8,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Clark et al. 1998,1998,1995,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,organochlorine insecticides,DDD,eggs,New Jersey-Delaware Bay drainage-Raccoon Creek,1,NA,NA,NA,unknown/mixed,n=1,2.6,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Clark et al. 1998,1998,1997,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,organochlorine insecticides,DDD,eggs,New Jersey-Delaware Bay drainage-Raccoon Creek,1,NA,NA,NA,unknown/mixed,n=1,2.1,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Clark et al. 1998,1998,1997,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,organochlorine insecticides,DDD,eggs,New Jersey-Delaware Bay drainage-Raccoon Creek,1,NA,NA,NA,unknown/mixed,n=1,0.62,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
