C,publication year,study period,country,scientific name,English name,subject type,toxicant group,toxicant specific,sample type,group,sample size,no. exposed,"OR if given, proportion exposed",Age Class,Sex,concentration level estimate type,concentration (ND for non-detects),Detection limit (if reported),SD of concentration,minimum,maximum,unit of measure,wet/dry weight?,sublethal effects assessed?,sublethal type,sublethal specific,Notes,,,,,,,,,,,,,,,,
Dykstra et al. 2019,2019,2006-2015,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,heavy metals,Hg,body feathers,Apostle Islands,93,NA,NA,nestling,unknown/mixed,geometric mean,2.69,NA,NA,NA,NA,?g/g,dry,yes,fecundity,,,,,,,,,,,,,,,,,,
Dykstra et al. 2019,2019,2006-2015,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,heavy metals,Hg,body feathers,south shore of Lake Superior in Wisconsin,16,NA,NA,nestling,unknown/mixed,geometric mean,5.25,NA,NA,NA,NA,?g/g,dry,yes,fecundity,,,,,,,,,,,,,,,,,,
Dykstra et al. 2019,2019,2006-2015,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,heavy metals,Hg,body feathers,upper Saint Croix National Scenic River,88,NA,NA,nestling,unknown/mixed,geometric mean,6.66,NA,NA,NA,NA,?g/g,dry,yes,fecundity,,,,,,,,,,,,,,,,,,
Dykstra et al. 2019,2019,2006-2015,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,heavy metals,Hg,body feathers,lower Saint Croix National Scenic River,120,NA,NA,nestling,unknown/mixed,geometric mean,4.62,NA,NA,NA,NA,?g/g,dry,yes,fecundity,,,,,,,,,,,,,,,,,,
Dykstra et al. 2019,2019,2006-2015,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,heavy metals,Hg,body feathers,Mississippi National River and Recreation Area,267,NA,NA,nestling,unknown/mixed,geometric mean,3.46,NA,NA,NA,NA,?g/g,dry,yes,fecundity,,,,,,,,,,,,,,,,,,
Dykstra et al. 2019,2019,2006-2015,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,heavy metals,Hg,body feathers,pools 3 and 4 of the Mississippi River,61,NA,NA,nestling,unknown/mixed,geometric mean,3.22,NA,NA,NA,NA,?g/g,dry,yes,fecundity,,,,,,,,,,,,,,,,,,
Clark et al. 1998,1998,1993,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,PCBs,,eggs,New Jersey-Delaware Bay drainage-Raccoon Creek,1,NA,NA,unknown/mixed,unknown/mixed,n=1,24,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Clark et al. 1998,1998,1994,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,PCBs,,eggs,New Jersey-Delaware Bay drainage-Raccoon Creek,1,NA,NA,unknown/mixed,unknown/mixed,n=1,48,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Clark et al. 1998,1998,1995,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,PCBs,,eggs,New Jersey-Delaware Bay drainage-Raccoon Creek,1,NA,NA,unknown/mixed,unknown/mixed,n=1,54,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Clark et al. 1998,1998,1997,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,PCBs,,eggs,New Jersey-Delaware Bay drainage-Raccoon Creek,1,NA,NA,unknown/mixed,unknown/mixed,n=1,54,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Clark et al. 1998,1998,1997,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,PCBs,,eggs,New Jersey-Delaware Bay drainage-Stow Creek,1,NA,NA,unknown/mixed,unknown/mixed,n=1,20,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Hernandez et al. 1989,1989,1986-1987,Spain,Aquila adalberti,Spanish Imperial Eagle,wild,PCBs,,eggs,Nature Park of Montrague,13,NA,NA,unknown/mixed,unknown/mixed,geometric mean,293,NA,NA,NA,NA,ppb,wet,no,,,,,,,,,,,,,,,,,,,
Hernandez et al. 1989,1989,1986-1987,Spain,Aquila adalberti,Spanish Imperial Eagle,wild,PCBs,,eggs,Castile Plateau,8,NA,NA,unknown/mixed,unknown/mixed,geometric mean,280,NA,NA,NA,NA,ppb,wet,no,,,,,,,,,,,,,,,,,,,
Hernandez et al. 1989,1989,1986-1987,Spain,Aquila adalberti,Spanish Imperial Eagle,wild,PCBs,,eggs,Donana National Park,13,NA,NA,unknown/mixed,unknown/mixed,geometric mean,820,NA,NA,NA,NA,ppb,wet,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco tinnunculus,Common Kestrel,wild,organochlorine insecticides,DDE,eggs,,12,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.03,NA,NA,0.01,0.07,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco tinnunculus,Common Kestrel,wild,organochlorine insecticides,DDD,eggs,,12,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco tinnunculus,Common Kestrel,wild,organochlorine insecticides,DDT,eggs,,12,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco tinnunculus,Common Kestrel,wild,organochlorine insecticides,b-HCH,eggs,,12,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.02,NA,NA,0.01,0.06,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco tinnunculus,Common Kestrel,wild,PCBs,,eggs,,12,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.02,NA,NA,0.01,0.03,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco tinnunculus,Common Kestrel,wild,organochlorine insecticides,a-HCH,eggs,,12,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco tinnunculus,Common Kestrel,wild,organochlorine insecticides,d-HCH,eggs,,12,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco tinnunculus,Common Kestrel,wild,organochlorine insecticides,Dieldrin,eggs,,12,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco tinnunculus,Common Kestrel,wild,organochlorine insecticides,Lindane,eggs,,12,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco tinnunculus,Common Kestrel,wild,organochlorine insecticides,Hexachlorobenzene,eggs,,12,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco tinnunculus,Common Kestrel,wild,organochlorine insecticides,heptachlor epoxide (trans),eggs,,12,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco tinnunculus,Common Kestrel,wild,organochlorine insecticides,oxychlordane,eggs,,12,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Aquila rapax,Steppe Eagle,wild,organochlorine insecticides,DDE,eggs,,5,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.05,NA,NA,0.03,0.11,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Aquila rapax,Steppe Eagle,wild,organochlorine insecticides,DDD,eggs,,5,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Aquila rapax,Steppe Eagle,wild,organochlorine insecticides,DDT,eggs,,5,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Aquila rapax,Steppe Eagle,wild,organochlorine insecticides,b-HCH,eggs,,5,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.28,NA,NA,0.13,0.52,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Aquila rapax,Steppe Eagle,wild,PCBs,,eggs,,5,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.03,NA,NA,0.03,0.04,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Aquila rapax,Steppe Eagle,wild,organochlorine insecticides,a-HCH,eggs,,5,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.01,NA,NA,ND,0.02,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Aquila rapax,Steppe Eagle,wild,organochlorine insecticides,d-HCH,eggs,,5,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.01,NA,NA,ND,0.01,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Aquila rapax,Steppe Eagle,wild,organochlorine insecticides,Dieldrin,eggs,,5,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.01,NA,NA,ND,0.03,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Aquila rapax,Steppe Eagle,wild,organochlorine insecticides,Lindane,eggs,,5,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Aquila rapax,Steppe Eagle,wild,organochlorine insecticides,Hexachlorobenzene,eggs,,5,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Aquila rapax,Steppe Eagle,wild,organochlorine insecticides,heptachlor epoxide (trans),eggs,,5,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Aquila rapax,Steppe Eagle,wild,organochlorine insecticides,oxychlordane,eggs,,5,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco vespertinus,Red-footed Falcon,wild,organochlorine insecticides,DDE,eggs,,2,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.03,NA,NA,0.03,0.04,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco vespertinus,Red-footed Falcon,wild,organochlorine insecticides,DDD,eggs,,2,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco vespertinus,Red-footed Falcon,wild,organochlorine insecticides,DDT,eggs,,2,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco vespertinus,Red-footed Falcon,wild,organochlorine insecticides,b-HCH,eggs,,2,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.01,NA,NA,0.01,0.01,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco vespertinus,Red-footed Falcon,wild,PCBs,,eggs,,2,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.02,NA,NA,0.02,0.02,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco vespertinus,Red-footed Falcon,wild,organochlorine insecticides,a-HCH,eggs,,2,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco vespertinus,Red-footed Falcon,wild,organochlorine insecticides,d-HCH,eggs,,2,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco vespertinus,Red-footed Falcon,wild,organochlorine insecticides,Dieldrin,eggs,,2,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco vespertinus,Red-footed Falcon,wild,organochlorine insecticides,Lindane,eggs,,2,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco vespertinus,Red-footed Falcon,wild,organochlorine insecticides,Hexachlorobenzene,eggs,,2,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco vespertinus,Red-footed Falcon,wild,organochlorine insecticides,heptachlor epoxide (trans),eggs,,2,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco vespertinus,Red-footed Falcon,wild,organochlorine insecticides,oxychlordane,eggs,,2,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Buteo rufinus,Long-legged Buzzard,wild,organochlorine insecticides,DDE,eggs,,3,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.13,NA,NA,0.07,0.26,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Buteo rufinus,Long-legged Buzzard,wild,organochlorine insecticides,DDD,eggs,,3,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Buteo rufinus,Long-legged Buzzard,wild,organochlorine insecticides,DDT,eggs,,3,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Buteo rufinus,Long-legged Buzzard,wild,organochlorine insecticides,b-HCH,eggs,,3,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.11,NA,NA,0.07,0.26,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Buteo rufinus,Long-legged Buzzard,wild,PCBs,,eggs,,3,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.14,NA,NA,0.08,0.36,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Buteo rufinus,Long-legged Buzzard,wild,organochlorine insecticides,a-HCH,eggs,,3,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Buteo rufinus,Long-legged Buzzard,wild,organochlorine insecticides,d-HCH,eggs,,3,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Buteo rufinus,Long-legged Buzzard,wild,organochlorine insecticides,Dieldrin,eggs,,3,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Buteo rufinus,Long-legged Buzzard,wild,organochlorine insecticides,Lindane,eggs,,3,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Buteo rufinus,Long-legged Buzzard,wild,organochlorine insecticides,Hexachlorobenzene,eggs,,3,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.01,NA,NA,0.01,0.01,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Buteo rufinus,Long-legged Buzzard,wild,organochlorine insecticides,heptachlor epoxide (trans),eggs,,3,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Buteo rufinus,Long-legged Buzzard,wild,organochlorine insecticides,oxychlordane,eggs,,3,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Milvus migrans,Black Kite,wild,organochlorine insecticides,DDE,eggs,,2,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.45,NA,NA,0.38,0.54,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Milvus migrans,Black Kite,wild,organochlorine insecticides,DDD,eggs,,2,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.06,NA,NA,0.06,0.06,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Milvus migrans,Black Kite,wild,organochlorine insecticides,DDT,eggs,,2,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.05,NA,NA,0.03,0.08,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Milvus migrans,Black Kite,wild,organochlorine insecticides,b-HCH,eggs,,2,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.33,NA,NA,0.27,0.41,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Milvus migrans,Black Kite,wild,PCBs,,eggs,,2,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.09,NA,NA,0.08,0.1,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Milvus migrans,Black Kite,wild,organochlorine insecticides,a-HCH,eggs,,2,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,ND,0.08,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Milvus migrans,Black Kite,wild,organochlorine insecticides,d-HCH,eggs,,2,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,ND,0.02,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Milvus migrans,Black Kite,wild,organochlorine insecticides,Dieldrin,eggs,,2,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,ND,0.01,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Milvus migrans,Black Kite,wild,organochlorine insecticides,Lindane,eggs,,2,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,ND,0.03,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Milvus migrans,Black Kite,wild,organochlorine insecticides,Hexachlorobenzene,eggs,,2,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.01,NA,NA,0.01,0.01,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Milvus migrans,Black Kite,wild,organochlorine insecticides,heptachlor epoxide (trans),eggs,,2,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,ND,0.09,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Milvus migrans,Black Kite,wild,organochlorine insecticides,oxychlordane,eggs,,2,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,ND,0.02,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Asio otus,Long-eared Owl,wild,organochlorine insecticides,DDE,eggs,,1,NA,NA,unknown/mixed,unknown/mixed,n=1,0.07,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Asio otus,Long-eared Owl,wild,organochlorine insecticides,DDD,eggs,,1,NA,NA,unknown/mixed,unknown/mixed,n=1,ND,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Asio otus,Long-eared Owl,wild,organochlorine insecticides,DDT,eggs,,1,NA,NA,unknown/mixed,unknown/mixed,n=1,ND,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Asio otus,Long-eared Owl,wild,organochlorine insecticides,b-HCH,eggs,,1,NA,NA,unknown/mixed,unknown/mixed,n=1,ND,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Asio otus,Long-eared Owl,wild,PCBs,,eggs,,1,NA,NA,unknown/mixed,unknown/mixed,n=1,0.04,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Asio otus,Long-eared Owl,wild,organochlorine insecticides,a-HCH,eggs,,1,NA,NA,unknown/mixed,unknown/mixed,n=1,ND,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Asio otus,Long-eared Owl,wild,organochlorine insecticides,d-HCH,eggs,,1,NA,NA,unknown/mixed,unknown/mixed,n=1,ND,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Asio otus,Long-eared Owl,wild,organochlorine insecticides,Dieldrin,eggs,,1,NA,NA,unknown/mixed,unknown/mixed,n=1,ND,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Asio otus,Long-eared Owl,wild,organochlorine insecticides,Lindane,eggs,,1,NA,NA,unknown/mixed,unknown/mixed,n=1,ND,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Asio otus,Long-eared Owl,wild,organochlorine insecticides,Hexachlorobenzene,eggs,,1,NA,NA,unknown/mixed,unknown/mixed,n=1,0.08,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Asio otus,Long-eared Owl,wild,organochlorine insecticides,heptachlor epoxide (trans),eggs,,1,NA,NA,unknown/mixed,unknown/mixed,n=1,ND,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Asio otus,Long-eared Owl,wild,organochlorine insecticides,oxychlordane,eggs,,1,NA,NA,unknown/mixed,unknown/mixed,n=1,ND,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,DDE,eggs,,1,NA,NA,unknown/mixed,unknown/mixed,n=1,27.3,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,DDD,eggs,,1,NA,NA,unknown/mixed,unknown/mixed,n=1,0.28,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,DDT,eggs,,1,NA,NA,unknown/mixed,unknown/mixed,n=1,0.09,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,b-HCH,eggs,,1,NA,NA,unknown/mixed,unknown/mixed,n=1,0.17,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco peregrinus,Peregrine Falcon,wild,PCBs,,eggs,,1,NA,NA,unknown/mixed,unknown/mixed,n=1,14.3,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,a-HCH,eggs,,1,NA,NA,unknown/mixed,unknown/mixed,n=1,ND,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,d-HCH,eggs,,1,NA,NA,unknown/mixed,unknown/mixed,n=1,ND,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,Dieldrin,eggs,,1,NA,NA,unknown/mixed,unknown/mixed,n=1,0.18,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,Lindane,eggs,,1,NA,NA,unknown/mixed,unknown/mixed,n=1,0.01,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,Hexachlorobenzene,eggs,,1,NA,NA,unknown/mixed,unknown/mixed,n=1,1.16,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,heptachlor epoxide (trans),eggs,,1,NA,NA,unknown/mixed,unknown/mixed,n=1,0.12,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
Henny et al. 1998,1998,1992-1993,Russia,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,oxychlordane,eggs,,1,NA,NA,unknown/mixed,unknown/mixed,n=1,0.12,NA,NA,NA,NA,ppm,NA,no,,,,,,,,,,,,,,,,,,,
